入口(端点/worker),所属模块,读表(分号分隔),写表(分号分隔),是否经统一来源登记(source_registry/data_center_ingest_events),四仓覆盖,置信度
/api/v1/tasks/{task_id}/attachments,任务与日程,client_folders; documents; event_lines; tasks,activity_logs; atomic_fact_confidence_history; atomic_facts; card_review_queue; client_folders; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; …(共36表),是,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/event-lines/{event_line_id}/report-snapshot,事件线,(读边无端点链),activity_logs; atomic_fact_confidence_history; atomic_facts; card_review_queue; client_folders; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; …(共33表),是,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/workspace/backfill-imports,智能文件导入,(读边无端点链),activity_logs; atomic_facts; card_review_queue; client_folders; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; fact_contradictions; …(共33表),是,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
[worker] _worker_loop,系统同步,(读边无端点链),activity_logs; atomic_facts; card_review_queue; client_folders; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; fact_contradictions; …(共32表),是,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/documents/from-text,客户工作台,(读边无端点链),activity_logs; atomic_facts; card_review_queue; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; fact_contradictions; glossary_drift_alerts; …(共26表),否,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/knowledge/parse-failures/retry,客户工作台,(读边无端点链),activity_logs; card_review_queue; client_strategic_profiles; dedup_relations; document_cards; document_catalog_index; document_chunks; documents; entities; entity_mentions; event_line_activities; judgment_versions; knowledge_document_versions; knowledge_documents; …(共23表),否,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/clients/{client_id}/strategic-cockpit/meeting-pack/{meeting_id}/apply,客户工作台,(读边无端点链),activity_logs; data_center_ingest_events; data_center_sync_outbox; documents; exp_wall_quotes; growth_ability_profiles; growth_capture_states; growth_evidence_records; growth_signal_events; learning_content_items; memory_facts; strategic_cockpit_snapshots; task_settings; task_tags; …(共18表),是,共识事实/原始资料/富化索引/系统/认知产品,中(call_name_match)
/api/v1/tasks/{task_id},任务与日程,operators; task_attachments; task_collaborators; task_lists; tasks,commitments; data_center_ingest_events; data_center_sync_outbox; documents; event_line_activities; event_line_memory_snapshots; event_lines; growth_signal_events; memory_facts; organization_notebook_snapshots; task_collaborators; tasks; v2_documents,是,共识事实/原始资料/系统/认知产品,中(混合)
[worker] _startup_worker,系统同步,clients; tasks,analysis_jobs; chat_messages; client_analysis_runs; client_stage_audit; client_template_fill_runs; clients; event_lines; idempotency_keys; imports; knowledge_jobs; reasoning_traces; tasks; workspace_context_refresh_events; workspace_link_import_runs,否,共识事实/原始资料/系统/认知产品,中(混合)
/api/v1/clients/{client_id}/meetings/{meeting_id}/publish,客户工作台,action_items; decisions,action_items; data_center_ingest_events; documents; event_line_activities; evidence_refs; growth_ability_profiles; growth_evidence_records; growth_signal_events; learning_content_items; meetings; memory_facts; task_settings; v2_documents; xp_ledger,是,共识事实/原始资料/富化索引/系统/认知产品,中(混合)
