目标,最终裁决,为何当年立,在撑什么活功能,是否在挡bug,直接收口会崩什么,收口前置护栏
T10-deepread_orphan,truly_dead,"有明确立意，非凭空。文件 docstring(行1-9 原文)写：""数据中心第①层 · 文档深读地基统一服务 (M1/M2/M3 核心)。目标(见桌面 53/54-E): 让每份资料可靠完成 深读→要素提取→语义索引, 客户无关、可追踪、可重试、可自愈。不重造知识库...本服务只加'统一入口 + 状态表 + 队列/自愈'这层壳。""。commit body 进一步写：""M2 状态表(33列, 逐阶段status+retry+lock+3索引)... M1 状态机(enqueue幂等/claim/mark/retry指数退避/dead_letter/reap_stuck)... 不重造知识库, 只加'统一入口+状态+队列自愈'壳层""。即：它当年是想做一条""统一深读编排层""去收编/统一深读状态，是规划意图明确的【新设计尝试】，不是 bug 补丁。","实质上没有撑任何活功能——它是只落了""壳""、从未接线的半截设计。设计上想撑""导入即登记深读→worker 消费→自愈巡检""，但 M3(让导入入口改调 enqueue_deep_read)、M4(让常驻 worker 改调 claim_next)从未实施。真正承担""文档深读""的生产链路走的是另一张表 local_model_tasks：导入唯一活路径 task_runners/router.py:201 _enqueue_deep_read（名字叫 deep_read 但实际）调 local_model_optimizer.enqueue_local_model_optimization_tasks → INSERT 进 local_model_tasks(local_model_optimizer.py:431)，根本不碰本表；常驻 deep-read-worker 线程(main.py:","否。它不是任何 bug 的防御性代码或 fix。commit 91fac96 是 feat(新功能/新设计)，docstring 与 body 都是""统一深读地基/编排""愿景语言，无任何""暂时/兜底/fix/历史原因/挡某失败""措辞。注意区分：后续 commit ccff907「fix(deep-read): 恢复 W2 worker」确是 bug 修复(修 worker 饥饿)，但 git show ccff907 --stat 确认它完全不触碰 document_deep_read_service.py / document_deep_read_states 表，改的是 local_mod","收口/删除几乎零风险：(1) 删表丢的 14 行是同一客户、同一毫秒批量写入、15 天 100% pending 的开发者自测种子，且这 14 篇文档的真深读结果已由生产链路 local_model_tasks 另行产出(该客户 knowledge_surrogates source_type=document=14 已建)，无独立有效数据。(2) 删 service 文件只会连带破坏 scripts/ 下 3 个验证脚本的 import（非生产、可一并废弃或重写）。(3) 不影响任何 API/worker/页面——没有端点、没有线程、没有前端读它。唯一""隐性损失""是这套 enqueue 幂等/指数退避/dead_letter/reap_stuck 编排原语作为""未来统一深读地基""的设计资产会一并消失，但它从未接线、也未被选为真相源(真相源是 local_model_tasks)。","删除前两点收尾确认（均非阻断、属清洁性）：(1) 同步删/废 scripts/ 下 3 个 import 该服务的脚本（e_deepread_fullchain_huifeng.py / validate_deep_read_mechanism.py / e_deepread_shiping_benchmark.py），否则它们 import 会断——非生产，可一并清。(2) 注意 coverage_for_client / claim_next 等命名与活路径（local-ai coverage、claim_next_analysis_job/_knowledge_job/_claim_next_task）碰撞，删除时按模块来源精确定位 document_deep_read_service.py，勿误伤同名活函数。(3) 切勿""接线复活""该壳——若团队仍要""统一深读地基""应在真相源 local_model_tasks 上长 coverage/dead_letter，复活会重新制造两套状态源分裂。DROP TABLE + 删 service 文件 + db.py 该表 DDL/3 索引"
T8-hardlimits,safe_consolidate,"commit 3d24ea2 提交信息原文明说设计意图：""M5 硬上限改 token 预算驱动 (facts 60->200, chunks 6->预算, 文档摘要 240->600)""、""M6 真跑 qwen2.5:7b before/after: CFFC business_intro 41->234字; 输入 2->18-20 chunk""——即限额是为本地小模型（qwen2.5:7b）的 prompt 体量量身定的，并用真模型 before/after 验证过。塑形层限额则被一组显式 FREEZE 注释钉死：evidence_selector.py:443「P2.14 FREEZE(answer-shaping-evidence-selection): selected_limit / max_per_doc 仍然是旧回答塑形半层对""读多少资料""的硬裁剪。当前先冻结为待拆规则，不再",在撑活功能且数据非空。(1) 任务理解：main.py:24418 _precompute_task_understanding 在建任务时起 daemon 线程跑 build_understanding，写 task_understanding_cache（真库 224 行）。(2) 战略叙事：collect_client_fact_bundle 经 narrative_kernel / strategic_narrative_semantic_retriever 喂 narrative_generator，产出写 client_narrative_local_mirror（真库 7 行），消费表 atomic_facts 真库 2288 行。(3) 工作台 DNA 工具上下文：workspace_data_center_adapter module_budget 截 DNA 注入主回答,"限额本身否——全仓 git log 用「超长/崩溃/超时/爆炸/OOM/narrative crash/context 超」筛 narrative/ai/understanding 历史，零条""fix: 叙事超长崩溃""类提交；唯一命中 3d24ea2 是放大 feature 而非崩溃修复。但同文件邻近有一处真 bug-patch（不同失败模式）：commit edb7d44「fix(ai): 4 个 AI 服务层 P1 防御 [B3]」在 narrative_collector.py:690 给 LIKE 加 ESCAPE 转义，注释原文「若用户输入含 % 或 _...会匹配所有行 → 该客户","按 30/90 参数化/动态预算放大，崩点不是 app 崩溃而是回答降级。技术实证 ai.py:4969-5035 本地调用走 OpenAI 兼容 /chat/completions，max_tokens 仅是输出上限、无 num_ctx 输入护栏；超本地模型 context 时，LLM server 返 HTTP 错或左截断，_qwen_generate 走 3 次重试→候选回退→最终 raise RuntimeError，被各 builder catch 后落 _build_basic_understanding/functional fallback（不 crash 进程、不 OOM 主程序）。故""放大触发本地 LLM 崩溃""的担忧在当前架构下不成立——最坏是叙事退回纯规则兜底、质量下降、本地推理变慢/超时（timeout_seconds=45）。真实风险点：(a) module_b",收口可推进，但先做这几条防护：① 放大限额必须按 provider 分两套预算（cloud 大模型放大 / local 小模型保守），尤其 atomic_fact_limit 对 988/883 facts 的大客户放大会拉长无压缩的 narrative prompt——给 narrative 路径补一个输入字符上限或 num_ctx 探测，别只靠 420s 超时兜底（420s 会长时间占住一个同步请求 worker，throughput 风险）。② 放大前对当前在用 provider 跑 M6 套路的 before/after 实测，并对 client_284afd836e/a4d1db29a7 这两个大客户专测超时率与 stub 命中率，确认 stub-guard(main.py:29993)、_all_stub(narrative_generator.py:1114) 降级链在放大后仍稳。③ 必须保留的下限/护栏不可动：_MIN_CHUNKS=8(narrative_generator.py:705)、module_budget 的 max(500)/max(1800) 地板(a
T1-source_registry,migrate_first,"commit 7795893 与文件头注释（source_registry_store.py:1-23）明文写出设计意图，引原文：""所有数据进入数据中心**先到 source_registry**登记,然后才能进入第 2-7 层. 没有 source_registry record 的数据不允许写入 atomic_facts / fact_clusters 等.""。即顾源源 5/22 22:30 钦定蓝图 §七""数据中心第1层来源登记""——规划中的 IngestPipeline 强校验中枢（register_source 默认 strict_4_required=True，4 必填校验 client_id/project_id/user_id/org_id），含 source_role（12 类）+ initial_confidence（0.4*type_prior+0.6*role_pr",设计上撑：(1) IngestPipeline 准入校验；(2) atomic_facts.source_registry_id 溯源外键（N:1）；(3) team_sync_executor 跨组织同步（_build_sync_payload 读 sr.source_role/version_id/initial_confidence 拼云端 payload，对应前端 src/renderer/lib/api.ts:2378/2383/2390 三个 team-sync 端点）；(4) story_card_generator 段10证据来源展示（仅 COUNT）。但真库实测：源全部退化——4 行全部 source_type=llm_extracted / source_role=ai_derived / initial_confidence=0.5 / version_id=v1 /,"否（表本身不是 bug 补丁）。但接入处大量""有意降级""防御代码：ingest_pipeline.py:685-688 try/except 注释明写""V2.3 register_source 失败 (继续写 atomic_facts, source_id 为 None)""；:683 strict_4_required=False 注释""暂宽松 (向后兼容 backfill)""——即原设计的""强校验门禁""被刻意关成 best-effort 旁路，门禁从未真正生效。smart_file_import.py:1028 / contradiction_detector.py:122 同款 try/e","若直接 DROP source_registry：(1) 断 atomic_facts 那 4 行的 source_registry_id 溯源指针（孤儿化，但仅 4 行）；(2) team-sync 三端点的 _build_sync_payload 会 SQL 报错（表不存在），前端 api.ts 三调用 500——但该链当前零真实搬运（team_sync_state=0），属""撑活端点但零数据流""；(3) story_card 段10 COUNT 走 try/except 已兜底，无碍。语义损失：丢掉规划中的 source_role 准入分型 + initial_confidence 起算 + version_id/prev_version_id 版本链——但真库证明这三者从未真正产生过有效值（全 v1/0.5/ai_derived 退化），是""纸面语义""非""在用语义""。收口到 dat",收口前必须：(1) 处理全部 5 个 register_source 写入点(原裁决漏 knowledge_v2.py:2469 + :3576 两处 team-sync 主喂数路径)；(2) team-sync 读链二选一——要么先下线 main.py:45139-45160 三端点 + 停掉 team-sync-worker 线程(main.py:3813-3857) + 摘除 TeamSyncPanel.tsx 两个按钮(:179 立即同步 / :199 入队，其中 enqueue_all_unsynced 直读 source_registry)，要么把 _build_sync_payload(team_sync_executor.py:102-161) 与 enqueue_all_unsynced(:62-74) 改读 data_center_ingest_events——但 ingest_events 无 source_role/initial_confidence/version_id/prev_version_id 列，承接需补列或接受弃用这三段语义(真库证明它们从未产生
T2-write_paths,migrate_first,"git 史 + 代码注释给出明确理由,各 writer 对应一个真实入口,不是重复造轮子: - ingest_pipeline.py:1-14 原文:""4 主路径统一入口…4 主路径:1.工作台文件 2.任务/计划/复盘/协作 3.互联网爬虫补全 4.手机 AI 聊天澄清…每个路径有专属 normalizer 决定默认 source_type/content_role,但写入出口统一走 IngestPipeline.ingest(),不再各路径自己 INSERT INTO atomic_facts。""——即收口本就是原始设计意图,IngestPipeline 就是那道闸门。 - chat_message_reverse_ingester.py:279-281 原文:""简化版 atomic_fact 写入(不走 IngestPipeline 重逻辑,仅 demo P0-3 反向入库)。生产链","按真实业务入口逐条(带证据): - IngestPipeline=document/file 抽取主闸门:被 document_llm_extractor.py:413 self._pipeline.ingest(req) 调,经 task_runners/fact_extract_runner → local_model_optimizer(meeting-spine ② 上传后入队 fact_extract)。真库中 304 个 af_ 前缀事实即此路径产物。是【活】的生产单闸门,且已自动级联 confidence_history / source_registry / person_resolver / 语义派生(deriver/formal_conflict)。 - contradiction_detector.persist_chunk_facts=knowledge_v2 ch","部分是。两处明确的兜底/修复性质:(1) contradiction_detector.persist_chunk_facts 被 internet_crawler.py:764 注释定性为""主干断点修复(用户原话):爬虫抓回的文档只入库 v2_documents 但不抽 atomic_facts""——是为补爬虫断点而复用的写入器,收口时这条爬虫→事实链不能断。(2) chat/smart_import 的直写带 try/except 吞错+source_registry 失败仍写 atomic_facts 的兜底(smart_file_import.py:1028 ""失败则 source_r","若一刀切强制所有 writer 走 IngestPipeline: 1. 活路径断写风险:contradiction_detector.persist_chunk_facts 被 internet_crawler + knowledge_v2 复用且承载真库 ~1981 行的主力写入——直接删/改签名会同时切断爬虫补全与 chunk 抽事实两条活链,这是最高危。 2. schema/字段丢失:smart_import 与 contradiction 路径当前不写 source_type/content_role,若 IngestPipeline 强校验这些字段而上游未提供 normalizer,会让这两条活路径报错或丢语义元数据;反之 IngestPipeline 满 25 列的级联(confidence_history/person_resolver/语义派生)若强加到 meeting/","收口前必须先做(在原裁决分级基础上补三条): A) 对 contradiction_detector/persist_chunk_facts 这条 1990 行主力路径,收口前先确认 IngestPipeline 的 internet_crawl/knowledge_chunk normalizer 能复制""不按 subject+attribute 去重/supersede、保留并存矛盾事实""的语义,否则会静默丢事实并破坏 fact_contradictions 记录;最稳是 persist_chunk_facts 内部转调一个绕过去重闸门的 IngestPipeline 入口(适配器),而非删函数。 B) 决定收口后各路径写不写显式 source_type:若改写,先核对所有按 source_type/默认 llm_extracted 分桶的概览统计与事实层消费计数读方,用本报告基线(2288;af_295/hex1990/fact3;source_type llm_extracted 2002)做回归,防分布漂移。 C) commitments 收口必须显式保留 source_ty"
T3-chunks,migrate_first,"document_chunks 当年立的理由有明确代码注释佐证(backend/app/services/strategic_narrative_semantic_retriever.py:12-16 原文):""历史 5/28: 原走 knowledge_base 版, 但其 citation grounding 需要 document_chunks (raw chunk 级 grounding); 而 v2 ingest 经 _sync_legacy_knowledge_document 只建 knowledge_documents 占位, 不建 document_chunks → 除 CFFC 早期 v1 ingest 外, 所有客户 coverage=0、citations=0, 失败原因 no_grounded_citations。"" 即:document_chunks 是 v1 ","当年撑:v1 知识库的 raw_chunk 级语义检索 + citation grounding,服务战略陪伴叙事取材(retrieve_knowledge_bundle 旧路径)。数据链:knowledge_base.ingest_document_knowledge 写 document_chunks → sync_qdrant_for_client 读 document_chunks 建 raw_chunk Qdrant collection → search_raw_chunks_qdrant 查该 collection → 旧 knowledge_base.retrieve_knowledge_bundle(knowledge_base.py:3798,内部 4056 调 search_raw_chunks_qdrant、4068/4196 直读 document_chunks)","是——document_chunks 本身不是 bug 补丁,但""切走它""(commit 51f5f81)是为修一个真实失败模式:v2 ingest 经 _sync_legacy_knowledge_document 只建占位不写 chunk,导致除 CFFC 外全库 coverage=0/citations=0/no_grounded_citations。切到 knowledge_v2.retrieve_knowledge_bundle(走 v2_sections.content + preview_text)后实测日慈 6 维度 coverage 0.55-0.70、citations 1","按""单轨 v2_chunks""理解为两种动作分别评估:(A)只停用旧检索 / 不再读 document_chunks 做取材——零风险,该路早在 5/28 已切走,CFFC 也已在 v2 路径持平。(B)物理 DROP document_chunks 表——会崩两处:其一,sync_qdrant_for_client(knowledge_base.py:1465)的 `JOIN document_chunks` 在 deep-read reindex 跑到时抛 no such table,而该函数是活管线(每次深读/重建索引都过),属硬崩;其二,5371 行 CFFC v1 chunk(client_a4d1db29a7 5214 + client_55f5a8c847 157)是 raw_chunk 级原文,v2_chunks 是另一套 ingest(基于 v2_documents/v2","收口前必做(按序,切忌跳过直接 DROP)： 1. 先删 SQL 引用，再 DROP，且引用面比裁决列的更广——除裁决已列的 sync_qdrant_for_client:1465 JOIN + upsert_chunk_vectors raw_chunk 分支 + search_raw_chunks_qdrant + 旧 retrieve_knowledge_bundle + 旧 ingest_document_knowledge 外，还须一并处理两个活端点的 document_chunks 引用：main.py:46520-46523 reading-preview 的 chunk_count fallback(改为只认 v2_chunks 或直接删 fallback)、main.py:44018 软清理的 UPDATE document_chunks(删除或改打 v2)。另确认 knowledge_base.py:1402(upsert_chunk_vectors)、2790、2833、3270/3274(旧 ingest 写)、3403(死版 compute_knowledge"
T4-expwall,migrate_first,"不是""旧版被取代""，是两层不同设计同时立。证据=两表 schema 根本不同：handbook_entries=富结构手册条目(title/summary/tags/client_id/源对象溯源 source_object_id/project_module/ability_keys/evidence_refs/reuse_count，source_type='review_insight')；exp_wall_quotes=扁平金句+游戏化层(quote_text/category/like_count/save_count/hot_score/contribution_score，source_type='client_analysis')。commit c331063 原文明说 exp_wall_quotes 是""组织级金句互看(顾源源 5/27 方案 A)""，并标注""前端 Exp","exp_wall_quotes 在撑两条活数据流：(1)写入=local_memory.save_pending_quotes() 把 AI 从客户分析提炼的金句双写 growth_signal_events + exp_wall_quotes，该函数被 backend/app/main.py 三处调用(27082/27244/53993，深读/复盘/分析路径)；(2)读出=growth_engine.py 五处读它喂成长中心(成长积分 exp_wall_liked/exp_wall_saved at 1286；客观证据 at 1474；成长曲线 at 2287；薄弱能力的内部学习推荐 internalPicks at 2406；H4 社交反馈""努力被看见"" at 2695)。按 memory 成长中心排行/积分是核心玩法。handbook_entries 撑前端经验墙 UI(App.ts","否。两表均非防御性补丁。exp_wall_quotes 是顾源源 5/27 方案A 预埋的""组织级金句互看""功能基础设施(commit c331063 原文)，是有意为之的 P1 备用层而非挡 bug。growth_engine 所有读取裹 try/except silent-skip 是容错(表缺失不崩)，非针对具体 bug。","直接合并/删 exp_wall_quotes 会崩：(1)成长中心积分塌一块——growth_engine 5 处读消失，用户成长分里 exp_wall_liked/exp_wall_saved、客观证据、成长曲线点、薄弱能力的内部学习推荐(internalPicks 来源)、H4""努力被看见""的金句计数全归零，按 memory 这是核心玩法不是装饰;(2)丢 254 行 AI 提炼金句(handbook 仅 21 行，两表数据不重叠、schema 不同——金句无 title/tags/溯源字段，无法无损塞进 handbook_entries);(3)断 local_memory 双写链——save_pending_quotes 仍会 INSERT，若表删则该路径 try/except 吞掉，金句静默丢失;(4)云端 cloud_exp_wall_quotes/reactions 表+4 ","收口前必须按序迁移,不可裸删:(1)先改/退役 _background_sync_exp_wall daemon 里的 exp_wall push/pull 调用,否则 SELECT 抛错会连带阻断同 try 块内的 handbook+growth 云同步(每5min);(2)给 growth_engine 6处读重定数据源——其中 like/save 信号(1286)今天恒0可安全转空,但 count/created_at 类读(1474客观证据/2287成长曲线/2690 H4金句数)依赖真实254行,需指向 growth_signal_events(review_insight_pending,文本已全量在此)或保留计数;(3)/api/v1/growth/recommendations/feedback 的 source='exp_wall' 校验分支 + internalPicks(growth_engine:2406)的 exp_wall 来源需一并处理,避免悬空 sourceId;(4)云端 cloud_exp_wall_quotes/reactions 2表+4 end"
T5-mirror,migrate_first,"设计意图在 backend/app/modules/organization/schema.py:1-21 docstring 原文写得很清楚:""镜像火山云 cloud_backend 4 张表(经过裁剪,只保留本地用得到的字段):mirror_organizations←organizations / mirror_departments←org_departments / mirror_users←employee_accounts(去掉敏感字段) / mirror_client_related_users←client_related_users""。schema.py:37 注释:""v2.1 SSOT:这些表的真相在火山云,本地只读缓存""。即:就是为""桌面读云组织名册""做的本地只读镜像层(身份解析/部门/CEO/项目成员关系的本地缓存),配 synced_from_cloud_at ","本地组织名册的只读缓存,撑四条活路径:(1)人物身份解析 person_resolver.match_mirror_user(person_resolver.py:56)+ build_client_roster_hint(:172)——给文档抽取/会议纪要注入员工名册、把文本名解析成 mirror_users.id(main.py:29832 owner 解析);(2)审批人/CEO 解析 bot_members.py:_resolve_ceo_user_ids(:683 查 primary_role=admin)+_resolve_dept_leader_user_id(:667);(3)两个 DB 视图 org_members_v(人+bot 统一视图,FROM mirror_users)被 organization/repository.py:109/135/179、knowled","否。不是挡某个 bug 的防御性代码,是 v2.1 SSOT 架构的正常镜像层。唯一沾边的是 schema.py:13-16 注释解释了两处防御性设计选择(readonly trigger 拦业务误写;不加 FK 避免 sync 顺序破坏 cascade),但这是表本身的设计护栏,不是在挡运行期 bug。","若直接 DROP 四表:org_members_v 和 v_user_visible_clients 两个视图定义里的 FROM mirror_users / JOIN mirror_client_related_users 会失去基表,SQLite 视图在 SELECT 时解析基表,任何对这两个视图的查询会抛 ""no such table"" —— 直接打断 organization/repository.py:109/135/179(list_users/list_users_visible_for_client)、knowledge_v2 深读 worker team context(knowledge_v2.py:103)、plan_executor.py:1466 的 full_name 解析。即从""空表 graceful 退化""恶化成""运行期报错崩""。另外 ensure_bot_","收口前必做:(1)认清 org_members_v 是活视图(此刻serve机器人庆华 1 行),任何对 mirror_users 的处置都要保 org_members_v 的 bot 半边可用——本质是 bot 成员统一视图,不是死镜像;(2)若走""启用补同步""(推荐):前置确认本地有有效 cloud token(get_cloud_token 非空)+ 火山云 GET /api/v1/settings/org-model/profile 与 /api/v1/employees/directory 可用,再把已写好的 sync_organization_directory(原子事务+失败降级,sync.py)接上触发时机;同步跑通后身份解析/审批人/team context 自动点亮,读边已就绪无需改读方;(3)绝不可只在库层 DROP——会下次启动空表复活、并打断 org_members_v 重建(硬引用 mirror_users)与 repository.py:108/134/177 三处无 try/except 读(抛 no such table);(4)只有产品明确放弃""桌面"
T9-growth_failed,migrate_first,"三处 try/except 当年立意明确,有代码注释原文为证:growth_engine.py:3117 与 badge_engine.py:1146 注释均为 ""# 真5/27 阶段 1 · mark pending → 真后台 worker 真push 云端"",local_memory.py:326 为 ""# 真5/27 阶段 1 · mark signal pending → 后台 worker push 云端""。try 块严格只包住 `from app.services.growth_sync import mark_*_pending` 这个【惰性 import】+ 紧随的 mark 调用,而此时 signal/evidence/badge 已经 INSERT 完毕、signal_id 即将 return。意图=同步记账(把行标 pending)绝不能炸毁主业务(建 signal","撑的是成长积分(""卷""机制)跨同事云端可见的整条同步链:3 源表 growth_signal_events / growth_evidence_records / growth_validation_events 经 5min 后台 worker _background_sync_exp_wall(main.py:3343,与 exp_wall/handbook 共用线程)push→pull→本地重算派生表 capture_states + ability_weekly_snapshot(main.py:3379-3401)。三处 mark_pending 是这条链的【入队源头】:badge 解锁、growth signal/evidence/validation 生成、local_memory 的 AI review insight,都在 INSERT 后调 mark_pending 把","部分是。三处 try/except = 防御性保护补丁(防记账失败阻断主流程 + 防 import 失败),注释明示其防御意图,属于真实在挡""mark_pending 抛错阻断建 signal/发 badge""这个失败模式。但 ""failed 永不重扫"" 不是 bug patch,git/注释无任何""防重试风暴""理由,是地基遗漏的终点 sink。","(1)若【移除三处 try/except】裸调 mark_pending:一旦 mark_pending 因任何原因抛错(DB locked、旧库缺 sync_status 列、growth_sync 模块 import 失败),会反向炸毁主流程——建 growth signal 抛错、badge 解锁抛错、local_memory 的 AI insight 入库抛错。badge/signal 是高频写路径,等于把""同步记账故障""升级成""积分/徽章功能整体崩""。这正是顾源源担心的""移除吞异常让主流程因同步失败整体崩"",风险真实成立,不能裸移除。(2)若【扩扫 failed 但不上 attempt_count】:存在确定性永久失败模式会变重试风暴——云端 evidence 端点 cloud_backend/app/main.py:19879 对父 signal 不在云端返回 HTTP 400","收口前必须先做(在原裁决三步护栏基础上补两条被漏掉的防护):  第0步(护栏先行,原裁决已对)——先迁 schema 给三张 growth 表加 attempt_count INTEGER DEFAULT 0(沿用 db.py:4370 analysis_jobs 的 _ensure_column 幂等写法);push 选择器改为同扫 pending 与 failed(且 attempt_count<5),每次失败 +1,达上限不再回扫。否则 403/400 死行无限重推。  补丁A(原裁决漏)——push 选择器/backfill 必须加 user-ownership 过滤:只回填/推送 user_id = 当前登录用户 的行。144 条跨用户 local 行(op_qh/emp_aa24e6b6bf/op_guyuan/user_admin)绝不能从本机 backfill,它们注定 403;只能由各自用户桌面端推或走云端 admin 迁移通道,不属本机 migrate 范围。  补丁B(原裁决漏)——光 backfill 不够,要堵第二条 INSERT 泄漏路径:有一条产出 tas"
T11-chat_endpoint,migrate_first,"当年立意有明确钦定证据，引原文（main.py:49526-49528 注释）：""R4-P1-3 (顾源源 5/23 R4-P1 钦定): chat 反向入库 / 用户的'陈述/纠错/承诺/风险/判断'类消息要进 atomic_facts/commitments/risks 等 / 普通提问不强行入库 (chat_message_reverse_ingester 自带 question/chitchat 跳过)""。commit abeae33 正文亦载顾源源原话""普通提问不强行入事实库""。目的：把工作台对话里用户的陈述类内容反向沉淀进数据中心事实层，question/chitchat 跳过以免污染 atomic_facts。设计本身合理且有功能基础。","设计上支撑""数据中心事实层从工作台对话采集""这条采集边：按意图把 factual_assertion/judgment→atomic_facts、commitment→commitments、risk→risk_signals、并抽历史指代→historical_reference_links、不确定项→clarification_records。但实际上它什么都没在撑——因为接错端点（见下），生产产出为零。","否。它不是挡 bug 的防御代码，是一条正向采集功能。其调用被 try/except 包裹（main.py:49536-49537，""不阻塞主流程""），属容错而非 bug 补丁。它自身反而是一个""接错端点""的隐性失效，不挡任何 bug。","几乎无破坏面。若仅""迁端点""（把 ingest_chat_message 调用从同步端点移/复制到异步 /start），不会崩任何现有数据或功能：它本就零产出，迁移只会让它开始真正写入 atomic_facts/risk_signals/historical_reference_links/clarification_records——这是预期激活，不是回归。唯一需注意：(a) 它会首次开始向事实层写 user_verbal_fact，应确认不会污染下游 LLM 检索（设计上 question/chitchat 已跳过，约60%流量被正确过滤，commit abeae33 真验证过分类准）；(b) 不要删除同步端点本身，因为多个 smoke/eval 测试仍打它。","原裁决已点名""污染下游 LLM 检索""，但低估了具体程度，需在激活前确认：company_brain_context_builder.py:132 的主消费读法是 `SELECT ... FROM atomic_facts WHERE client_id=? AND status='active' {kw}`——既无 source_type 过滤、也无 confidence 下限，因此 ingester 写入的 user_verbal_fact/user_observation(confidence 仅 0.6-0.7) 会被原样喂进工作台 QA 上下文；company_brain_qa.py:98 同样无 source_type gate。唯一天然挡掉它的是 data_gap_compensator.py:153 的 confidence>=0.85 门槛。question/chitchat 跳过(~60%)只过滤提问类，存活的 factual_assertion/judgment 仍无下游 gate。故激活步骤须为【补不删】：在 start_chat_message 的 inser"
T12-exceptpass,migrate_first,"【except:pass】抽查 12+ 处,绝大多数有注释说明意图,属""有意 best-effort"":db.py:3401/3676/3877 `except sqlite3.OperationalError: pass`(注释""表不存在 → 跳过 backfill"",CREATE INDEX IF NOT EXISTS 的幂等护栏);fact_view.py:444""通知失败不阻塞主链"";main.py:3100""无法安全判定时保守先备份"";main.py:3966""_try_cloud_sync_task already records last_sync_error"";main.py:5041""profile rebuild is best-effort"";5047/5144 文档知识 backfill/profile 重建等可选后处理;5512 模型反序列化失败回退。Feishu","【except:pass】撑的是""主链路不被可选副作用拖垮""——索引/DDL 幂等、云同步重试、文档深加工后处理(profile/DNA/notebook 重建)、飞书可选推送、模型反序列化回退。删/收窄它们不会丢数据,但会把这些 best-effort 失败变成硬 500。 【ContextComposer】名义上撑 prompt_log 表的写入(LLM 调用全量持久化)与 reasoning_trace_store 的 prompt_log_id 外键。但真库 prompt_log=0 行、reasoning_traces.prompt_log_id 全 NULL → 实际什么都没撑,是空跑的设计意图。 【local_identities + 端点】仍在撑**本机/离线身份的读取主路**:get_local_session_user()(main.py:5443→5378 裸 SEL","部分是。except:pass 多数是""防御性兜底""而非挡具体 bug,但有 2 类挡了真失败模式:① db.py 的 `except sqlite3.OperationalError: pass` 明确挡""旧库缺表/缺列时建索引/backfill 崩""(注释为证);② main.py:5006-5013 吞掉""把文档标 error""的失败——这条略危险,会隐藏 UI 区分""未导入/解析失败""的状态写入失败,但它本身嵌在已失败的解析错误路径里。ContextComposer 与 local_identities 本身不是 bug-patch。","【except:pass】若把它们一刀改成 raise/收窄:会把索引建失败、云同步重试失败、文档后处理(profile/DNA/notebook)失败、飞书推送失败从""静默降级""升级为""硬 500 阻断主链"",反而制造可用性回归。这正是顾源源担心的""当年有功能性基础""。 【ContextComposer / llm_context】若按""零调用死原型""直接删 composer.py / prompt_logger.py 或删整个包:db.py:5037 import 即崩,后端启动失败(prompt_log 表也建不出)。这是""半接的 import 崩""的真实存在。 【local_identities 删表】db.py 注释断言""代码不再读写它""是**错误的**。真库一旦 DROP TABLE local_identities:① 应用冷启动/未登录/飞行模式下 /auth/me、/ac","分三件、各自先迁后收,勿一刀切:  1) except→pass(safe_consolidate 但只做""加日志不改控制流""):保留全部 best-effort 兜底,尤其 db.py:3401/3676/3877 的 `except sqlite3.OperationalError: pass`(CREATE INDEX IF NOT EXISTS 幂等护栏,注释为证)、云同步/飞书/文档后处理(profile/DNA/notebook 重建)。禁止改 raise——会把静默降级升级成硬 500 阻断主链,制造可用性回归(顾源源担心的""当年有功能性基础""正是此)。唯一建议升级 main.py:5006-5013 吞""标 documents.error""失败那条,补 log.warning(它隐藏 UI""未导入 vs 解析失败""状态)。  2) llm_context/ContextComposer(migrate_first,不可直接删):它是 db.py:5037 的活 schema 提供者。若清死代码,正确序=先把 __init__.py 的 eager import 收窄为只"
