表名,中文解释,四仓,行数,状态,主要写入入口,主要读取方,scope列(client/org/user/source),时间列(created/updated),备注
action_items,会议/纪要派生的待办行动项,原始资料,4,真接通,/api/v1/clients/{client_id}/todos/{todo_id}/dismiss; /api/v1/clients/{client_id}/todos/{todo_id}/promote-to-task; /api/v1/clients/{client_id}/meetings/{meeting_id}/extract,build_meeting_detail; promote_todo_to_task_proxy,client无/org无/user无/source无,"created有,updated无",
activity_logs,全局活动审计日志,系统,28688,真接通,create_app; /api/v1/event-lines/{event_line_id}/notes; /api/v1/tasks/{task_id}/attachments,_latest_local_task_status_update; _recent_due_date_change_stats,client无/org无/user无/source无,"created有,updated无",needs_human动态写
agenda_items,会议议程条目,原始资料,10,真接通,/api/v1/clients/{client_id}/strategic-cockpit/meeting-pack; create_app; /api/v1/clients/{client_id}/meetings,build_meeting_detail; create_app,client无/org无/user无/source无,"created无,updated无",
agent_weekly_plan_overrides,AI周计划人工覆盖项,系统,0,死表,(无/建表),upsert_agent_weekly_plan_override; _load_plan_override_rows,client无/org无/user无/source无,"created有,updated有",空表
ai_episode_log,AI执行回合日志,系统,312,半接通,local_model_optimizer_worker_loop,(无读边),client有/org无/user有/source无,"created无,updated无",
ai_feedback_signals,AI反馈信号,系统,0,门面,(无/建表),(无读边),client无/org无/user有/source无,"created有,updated无",空表
ai_improvement_suggestions,AI改进建议,系统,0,门面,(无/建表),(无读边),client无/org无/user无/source无,"created无,updated无",空表
ai_learned_rules,AI学习到的规则,系统,0,门面,(无/建表),(无读边),client有/org无/user有/source无,"created无,updated无",空表
ai_task_plans,AI生成的任务计划,系统,0,死表,/api/v1/org/bots/task-plans/{ai_task_plan_id}/decide; /api/v1/org/bots/{bot_member_id}/task-plans,create_app; get_user_ai_delegations,client有/org无/user无/source无,"created有,updated有",空表
ambiguities,抽取出的歧义点,共识事实,0,死表,/api/v1/clients/{client_id}/meetings/{meeting_id}/extract; /api/v1/clients/{client_id}/meetings/{meeting_id}/resolve; /api/v1/channels/feishu/events,build_strategic_cockpit_snapshot; build_meeting_detail,client无/org无/user无/source无,"created有,updated无",空表
analysis_jobs,分析中心异步作业队列,系统,72,真接通,analysis_job_worker_loop; _startup_worker; claim_next_analysis_job._claim,_sync_event_line_client_scope_records; list_analysis_jobs,client有/org无/user无/source无,"created有,updated有",needs_human动态写
analysis_runs,分析运行记录,认知产品,5,真接通,create_app; /api/v1/analysis-tools/runs,create_app; build_health,client无/org无/user无/source无,"created有,updated无",
analysis_templates,分析模板,认知产品,2,真接通,seed_defaults,create_app; update_analysis_workbench_settings,client无/org无/user无/source无,"created有,updated无",needs_human动态写
answer_citations,问答结果引用溯源,认知产品,7595,半接通,(无/建表),(无读边),client无/org无/user无/source无,"created有,updated无",
answer_runs,AI问答运行结果,认知产品,551,半接通,create_app; /api/v1/clients/{client_id}/documents/ai-action,(无读边),client有/org无/user无/source无,"created有,updated无",孤儿写;needs_human动态写
approval_records,审批记录,系统,1,真接通,_sync_event_line_client_scope_records; create_app; create_app._append_proposal_approval_audit,resolve_current_approval_state; decide_approval,client有/org无/user无/source无,"created有,updated无",孤儿写;needs_human动态写
atomic_fact_confidence_history,原子事实置信度变更史,共识事实,4,真接通,/api/v1/smart-import/sessions/{session_id}/commit; apply_user_correction,list_history_for_fact; get_current_trend,client无/org无/user无/source有,"created无,updated无",孤儿写;needs_human动态写
atomic_facts,加工后的原子事实,共识事实,2288,真接通,/api/v1/clients/{client_id}/duplicate-documents/resolve; create_app; /api/v1/clients/{client_id}/workspace/chat,collect_data_center_context_for_consultation; build_template_fill_context,client有/org无/user无/source有,"created有,updated有",
badge_unlock_records,成长徽章解锁记录,认知产品,104,真接通,_sync_badge_unlocks,_fetch_unlock_map,client无/org无/user有/source无,"created有,updated无",
bot_members,机器人同事成员,系统,1,真接通,/api/v1/org/bots; /api/v1/org/bots/{bot_member_id},create_app; get_user_ai_delegations,client无/org有/user无/source无,"created有,updated有",
bot_permission_policies,机器人权限策略,系统,6,真接通,upsert_synced_bot_from_cloud; /api/v1/org/bots; backfill_bot_init,upsert_synced_bot_from_cloud; upsert_synced_bot_from_cloud._do,client无/org无/user无/source无,"created有,updated有",
