exportName,kind,line,usageCount,paths,classification
getHealth,value,457,2,/api/v1/system/health,used_api_wrapper
BrainPulse,type,461,2,,type_only
BrainClientData,type,476,0,,type_only
BrainDashboard,type,488,2,,type_only
getBrainDashboard,value,493,2,/api/v1/brain/dashboard,used_api_wrapper
DigitalAssetMetric,type,497,3,,type_only
DigitalAssetSourceRef,type,504,0,,type_only
DigitalAssetInsight,type,512,0,,type_only
DigitalAssetDepositSuggestion,type,519,0,,type_only
DigitalAssetScoreBreakdown,type,531,0,,type_only
DigitalAssetUnit,type,538,0,,type_only
DigitalAssetMapNode,type,546,3,,type_only
DigitalAssetDimension,type,569,0,,type_only
DigitalAssetClientSummary,type,588,2,,type_only
DigitalAssetDashboard,type,618,2,,type_only
DigitalAssetClientDetail,type,623,2,,type_only
getDigitalAssetDashboard,value,630,2,/api/v1/digital-assets/dashboard,used_api_wrapper
getClientDigitalAssets,value,634,2,/api/v1/clients/{param}/digital-assets,used_api_wrapper
getTaskContextPreview,value,638,3,/api/v1/tasks/{param}/context-preview,used_api_wrapper
getClientPageContext,value,642,2,/api/v1/clients/{param}/page-context,used_api_wrapper
getTaskPageContext,value,669,2,/api/v1/tasks/{param}/page-context | /api/v1/tasks/{param}/page-context,used_api_wrapper
TaskUnderstandingSnapshot,type,680,1,,type_only
getTaskUnderstanding,value,706,2,/api/v1/tasks/{param}/understanding,used_api_wrapper
getTaskSmartBrief,value,710,1,/api/v1/tasks/{param}/smart-brief,used_api_wrapper
getTaskPrepPack,value,714,2,/api/v1/tasks/{param}/prep-pack,used_api_wrapper
createTaskPrepProposal,value,718,2,/api/v1/tasks/{param}/prep-pack/proposals,used_api_wrapper
getTaskSmartBriefsBatch,value,724,2,/api/v1/tasks/smart-briefs,used_api_wrapper
adoptTaskSmartBriefAction,value,731,2,/api/v1/tasks/{param}/smart-brief-actions/{param}/adopt,used_api_wrapper
getAuthState,value,741,2,/api/v1/auth/me,used_api_wrapper
register,value,745,27,/api/v1/auth/register,used_api_wrapper
getDepartmentOptions,value,752,2,/api/v1/auth/department-options,used_api_wrapper
login,value,756,20,/api/v1/auth/login,used_api_wrapper
processPendingConsultationKnowledgeRequests,value,763,2,/api/v1/consultation/knowledge-requests/process-pending,used_api_wrapper
logout,value,769,3,/api/v1/auth/logout,used_api_wrapper
changePassword,value,773,2,/api/v1/auth/change-password,used_api_wrapper
updateProfile,value,780,2,/api/v1/auth/me,used_api_wrapper
getLocalInputMemory,value,787,2,/api/v1/local-input-memory,used_api_wrapper
saveCloudAuthInputMemory,value,791,3,/api/v1/local-input-memory/cloud-auth,used_api_wrapper
saveAiInputMemory,value,798,2,/api/v1/local-input-memory/ai,used_api_wrapper
saveFeishuInputMemory,value,805,2,/api/v1/local-input-memory/feishu,used_api_wrapper
adminResetPassword,value,812,2,/api/v1/admin/employees/{param}/reset-password,used_api_wrapper
getSettings,value,819,2,/api/v1/settings,used_api_wrapper
updateSettings,value,823,3,/api/v1/settings,used_api_wrapper
getTaskSettings,value,830,2,/api/v1/settings/tasks,used_api_wrapper
updateTaskSettings,value,834,2,/api/v1/settings/tasks,used_api_wrapper
getReviewGovernanceSettings,value,841,2,/api/v1/settings/review-governance,used_api_wrapper
updateReviewGovernanceSettings,value,845,2,/api/v1/settings/review-governance,used_api_wrapper
getOrgModelProfile,value,852,5,/api/v1/settings/org-model/profile,used_api_wrapper
updateOrgModelProfile,value,856,2,/api/v1/settings/org-model/profile,used_api_wrapper
backfillOrgTaskLinks,value,863,2,/api/v1/settings/org-model/backfill-task-links,used_api_wrapper
getOrganizationDna,value,869,2,/api/v1/settings/org-dna,used_api_wrapper
updateOrganizationDnaModule,value,873,3,/api/v1/settings/org-dna/{param},used_api_wrapper
getClientWorkspaceSettings,value,880,2,/api/v1/settings/client-workspace,used_api_wrapper
updateClientWorkspaceSettings,value,884,2,/api/v1/settings/client-workspace,used_api_wrapper
getTopicsSettings,value,891,2,/api/v1/settings/topics,used_api_wrapper
updateTopicsSettings,value,895,2,/api/v1/settings/topics,used_api_wrapper
getAnalysisWorkbenchSettings,value,902,0,/api/v1/settings/analysis-workbench,unused_api_wrapper
updateAnalysisWorkbenchSettings,value,906,0,/api/v1/settings/analysis-workbench,unused_api_wrapper
getHandbookSettings,value,913,2,/api/v1/settings/handbook,used_api_wrapper
updateHandbookSettings,value,917,2,/api/v1/settings/handbook,used_api_wrapper
getSystemAdminSettings,value,924,2,/api/v1/settings/system-admin,used_api_wrapper
updateSystemAdminSettings,value,928,3,/api/v1/settings/system-admin,used_api_wrapper
getMainChainStabilitySettings,value,935,2,/api/v1/settings/main-chain-stability,used_api_wrapper
updateMainChainStabilitySettings,value,939,3,/api/v1/settings/main-chain-stability,used_api_wrapper
getFeishuBotSettings,value,946,1,/api/v1/settings/feishu-bot,used_api_wrapper
updateFeishuBotSettings,value,950,1,/api/v1/settings/feishu-bot,used_api_wrapper
getFeishuUserBinding,value,957,1,/api/v1/settings/feishu-user-binding,used_api_wrapper
startFeishuUserBinding,value,961,1,/api/v1/settings/feishu-user-binding/start,used_api_wrapper
clearFeishuUserBinding,value,967,1,/api/v1/settings/feishu-user-binding,used_api_wrapper
getOrgMembershipSummary,value,973,2,/api/v1/me/org-membership,used_api_wrapper
getFeishuMemberAuthorization,value,977,3,/api/v1/me/feishu-authorization,used_api_wrapper
startFeishuMemberAuthorization,value,981,2,/api/v1/me/feishu-authorization/start,used_api_wrapper
clearFeishuMemberAuthorization,value,987,2,/api/v1/me/feishu-authorization,used_api_wrapper
getOrgFeishuIntegration,value,993,2,/api/v1/org-integrations/feishu,used_api_wrapper
saveOrgFeishuIntegration,value,997,2,/api/v1/org-integrations/feishu/validate-and-save,used_api_wrapper
getFeishuDeliveryProfile,value,1004,2,/api/v1/me/feishu-delivery-profile,used_api_wrapper
saveFeishuDeliveryProfile,value,1008,2,/api/v1/me/feishu-delivery-profile,used_api_wrapper
createBackup,value,1015,2,/api/v1/settings/backup,used_api_wrapper
scanLegacy,value,1019,2,/api/v1/settings/legacy-scan,used_api_wrapper
loadDemoData,value,1026,3,/api/v1/settings/demo-data/load,used_api_wrapper
clearDemoData,value,1030,2,/api/v1/settings/demo-data/clear,used_api_wrapper
getActivityLogs,value,1034,2,/api/v1/settings/logs,used_api_wrapper
SystemLogEntry,type,1049,2,,type_only
SystemLogsResponse,type,1068,1,,type_only
getSystemLogs,value,1074,2,/api/v1/logs{param},used_api_wrapper
exportSystemLogs,value,1093,3,/api/v1/logs/export{param},used_api_wrapper
getLogDates,value,1109,0,/api/v1/logs/dates,unused_api_wrapper
getEmployees,value,1113,2,/api/v1/admin/employees,used_api_wrapper
approveEmployee,value,1117,2,/api/v1/admin/employees/{param}/approve,used_api_wrapper
rejectEmployeeReview,value,1124,2,/api/v1/admin/employees/{param}/reject,used_api_wrapper
disableEmployee,value,1131,2,/api/v1/admin/employees/{param}/disable,used_api_wrapper
updateEmployeeRole,value,1137,1,/api/v1/admin/employees/{param}/role,used_api_wrapper
updateEmployeeDepartment,value,1144,1,/api/v1/admin/employees/{param}/department,used_api_wrapper
getMentionCandidates,value,1151,5,/api/v1/employees/mention-candidates,used_api_wrapper
getClients,value,1155,4,/api/v1/clients,used_api_wrapper
createClient,value,1160,2,/api/v1/clients,used_api_wrapper
updateClient,value,1167,2,/api/v1/clients/{param},used_api_wrapper
deleteClient,value,1174,2,/api/v1/clients/{param},used_api_wrapper
deleteClientFolder,value,1180,2,/api/v1/clients/{param}/folders/{param},used_api_wrapper
getClientWorkspace,value,1186,5,/api/v1/clients/{param}/workspace,used_api_wrapper
createAnalysisJob,value,1190,0,/api/v1/analysis/jobs,unused_api_wrapper
backfillAnalysisMainChain,value,1197,2,/api/v1/analysis/backfill-main-chain,used_api_wrapper
getAnalysisJob,value,1204,0,/api/v1/analysis/jobs/{param},unused_api_wrapper
getAnalysisJobStages,value,1208,0,/api/v1/analysis/jobs/{param}/stages,unused_api_wrapper
getRuntimeRunLog,value,1212,0,/api/v1/runtime/run-log/{param},unused_api_wrapper
createDnaDelta,value,1216,0,/api/v1/memory/dna/delta,unused_api_wrapper
confirmJudgment,value,1223,0,/api/v1/memory/judgments/confirm,unused_api_wrapper
decideApproval,value,1230,0,/api/v1/approvals/decide,unused_api_wrapper
getClientJudgments,value,1237,0,/api/v1/clients/{param}/judgments,unused_api_wrapper
getClientTopics,value,1241,0,/api/v1/clients/{param}/topics,unused_api_wrapper
getClientConflicts,value,1245,0,/api/v1/clients/{param}/conflicts,unused_api_wrapper
getClientOpenQuestions,value,1249,0,/api/v1/clients/{param}/open-questions,unused_api_wrapper
getClientRuntimeRunLogs,value,1253,0,/api/v1/clients/{param}/runtime-run-logs,unused_api_wrapper
getAnalysisMigrationMetrics,value,1257,2,/api/v1/runtime/analysis-migration-metrics,used_api_wrapper
getClientDnaDocuments,value,1261,2,/api/v1/clients/{param}/dna-documents,used_api_wrapper
getClientDnaDocument,value,1265,0,/api/v1/clients/{param}/dna-documents/{param},unused_api_wrapper
updateClientDnaDocument,value,1269,2,/api/v1/clients/{param}/dna-documents/{param},used_api_wrapper
getClientProjectStructure,value,1280,8,/api/v1/clients/{param}/project-structure,used_api_wrapper
getProjectModuleDetail,value,1284,2,/api/v1/clients/{param}/project-modules/{param},used_api_wrapper
createProjectModule,value,1288,4,/api/v1/clients/{param}/project-modules,used_api_wrapper
updateProjectModule,value,1295,3,/api/v1/clients/{param}/project-modules/{param},used_api_wrapper
deleteProjectModule,value,1302,2,/api/v1/clients/{param}/project-modules/{param},used_api_wrapper
getProjectFlowDetail,value,1308,2,/api/v1/clients/{param}/project-flows/{param},used_api_wrapper
createProjectFlow,value,1312,3,/api/v1/clients/{param}/project-flows,used_api_wrapper
updateProjectFlow,value,1319,1,/api/v1/clients/{param}/project-flows/{param},used_api_wrapper
deleteProjectFlow,value,1326,0,/api/v1/clients/{param}/project-flows/{param},unused_api_wrapper
getClientKnowledgeStatus,value,1332,0,/api/v1/clients/{param}/knowledge/status,unused_api_wrapper
getClientKnowledgeProgress,value,1336,4,/api/v1/clients/{param}/knowledge/progress,used_api_wrapper
getRetrievalSettings,value,1340,0,/api/v1/retrieval/settings,unused_api_wrapper
updateRetrievalSettings,value,1344,0,/api/v1/retrieval/settings,unused_api_wrapper
